User Input Text (Features),Target_Disease (Label),,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having kidney issues along with high blood pressure""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling sweaty and shaky with a racing heart""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Unexplained weight changes and high pressure readings""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a history of kidney disease and now my BP is up""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe hypertension that doesn't respond to typical treatment""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Consistent high readings despite lifestyle changes""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Memory loss""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Confusion""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty completing familiar tasks""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Misplacing things""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Changes in mood or personality""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Poor judgment""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Withdrawal from social activities""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I keep forgetting names of people I know well""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I got lost driving to the grocery store today""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I can't remember where I put my keys or wallet""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having trouble following a simple recipe""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very confused about the time or the date""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been feeling more irritable and anxious lately""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Struggling to find the right words during a conversation""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of initiative and staying away from hobbies""",Alzheimer's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Swelling in feet and ankles""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Changes in urination it maybe more or less frequent""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Poor appetite""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle cramps""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""My ankles are so swollen I can't put my shoes on""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel tired all the time, no matter how much I sleep""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm noticed bubbles or foam in my urine""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I have to get up many times at night to pee""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""My skin is very itchy and feels dry""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a metallic taste in my mouth""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Puffiness around my eyes, especially in the morning""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Trouble concentrating and feeling mentally foggy""",Chronic Kidney Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Increased thirst""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""Frequent urination""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""Increased hunger""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""Unintended weight loss""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""Blurry vision""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""Slow-healing sores""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""Frequent infections""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""I'm drinking water constantly because I'm so thirsty""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""I have to use the bathroom every hour""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel starving even right after I eat a meal""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""My vision is getting fuzzy and out of focus""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a cut on my foot that just won't heal""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""Tingling or numbness in my hands and feet""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""Areas of darkened skin in my armpits or neck""",Diabetes Mellitus (Type 2),,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath, especially during physical activity""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""Wheezing""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""Ongoing cough""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest tightness""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""Long-term mucus production""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""Blue-tinged lips or fingernails""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""I get winded just walking across the room""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm constantly coughing up clear or white phlegm""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""My chest feels like it's in a vice""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a whistling sound in my chest when I breathe""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""I can't catch my breath even when I'm resting""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""My fingernails look slightly blue or grey""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""I've lost weight because it's hard to breathe while eating""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""Chronic respiratory distress and barrel chest appearance""",Emphysema,,,,,,,,,,,,,,,,,,,,,,,,
"""Productive cough like coughing up mucus""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Frequent respiratory infections""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest discomfort""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Slight fever and chills""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Wheezing""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've had a hacking cough for over three months""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm coughing up a lot of thick, yellowish mucus""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Every time I get a cold, it turns into a chest infection""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a dull ache or pressure in my chest""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel worn out from coughing all day""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""My breathing is noisy and I feel congested""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Recurring bouts of bronchitis every year""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty clearing my throat and constant phlegm""",Chronic Bronchitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent cough for more than three weeks""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""Coughing up blood or hemoptysis""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""Unintentional weight loss""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""Fever""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""Night sweats""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""Chills""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""I've been coughing for a month and it's not going away""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""I saw blood in my phlegm this morning""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""I wake up at night and my shirt is soaked in sweat""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""My chest hurts whenever I cough or breathe deeply""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel extremely weak and I've lost my appetite""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""I've dropped a lot of weight without trying lately""",Tuberculosis (TB),,,,,,,,,,,,,,,,,,,,,,,,
"""Cough with phlegm or pus""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and chills""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty breathing or dyspnea""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain when breathing or coughing""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea, vomiting, or diarrhea""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""Confusion happens especially in older adults""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm coughing up thick, greenish mucus""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a high fever and I'm shaking with chills""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""It feels like I can't get enough air into my lungs""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""My chest feels sharp and painful when I take a breath""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel completely wiped out and exhausted""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm feeling very short of breath even while resting""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""My heart is beating really fast and I feel sick""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been feeling very confused and disoriented lately""",Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,
"""High fever""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""Shaking chills""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""Headache""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and vomiting""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle pain and fatigue""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""Sweating""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest or abdominal pain""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""Cough""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a fever that comes and goes in cycles""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm shivering uncontrollably despite the heat""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""My head is pounding and I feel like throwing up""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""My whole body aches, especially my muscles""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm sweating a lot after my fever breaks""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel incredibly tired and weak""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dull ache in my stomach and a dry cough""",Malaria,,,,,,,,,,,,,,,,,,,,,,,,
"""High fever""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe headache""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""Pain behind the eyes""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe joint and muscle pain""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and vomiting""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""Skin rash""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""Mild bleeding from nose or gums""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""My eyes hurt, especially when I move them""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""It feels like my bones are breaking, the pain is so bad""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a sudden, very high temperature""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""I've developed a flat, red rash over most of my body""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""My gums started bleeding when I brushed my teeth""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel completely exhausted and sick to my stomach""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""The pain in my joints is making it hard to walk""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""I am having excessive body pain""",Dengue,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""Aching muscles""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""Chills and sweats""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""Headache""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""Dry, persistent cough""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""Tiredness and weakness""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""Runny or stuffy nose""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""Sore throat""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""Eye pain""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like I've been hit by a truck, everything aches""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a scratchy throat and a very stuffy nose""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm shivering one minute and sweating the next""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""My head is throbbing and I can't stop coughing""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""I have zero energy to even get out of bed""",Influenza,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty swallowing or dysphagia""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling bloated after eating""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling full after eating small amounts""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Heartburn""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Indigestion""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Stomach pain""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Unintentional weight loss""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Vomiting""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel full almost as soon as I start eating""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""I've been having really bad indigestion lately""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach hurts right in the upper middle area""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""I'm losing weight even though I'm not dieting""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel bloated and gassy every time I eat""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent nausea and occasional vomiting""",Stomach Cancer (Gastric Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Weight loss""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Upper abdominal pain""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and vomiting""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""General weakness and fatigue""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Abdominal swelling or ascites""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Yellow discoloration or jaundice""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""White, chalky stools""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed a hard lump on the right side under my ribs""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""The whites of my eyes look yellow""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach is getting bigger and feels tight""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""I'm not hungry at all and I'm losing weight fast""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""My skin is very itchy and my urine is dark""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very weak and sick to my stomach""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""My bowel movements look very pale or white""",Liver Cancer (Hepatocellular Carcinoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Trouble urinating""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Decreased force in the stream of urine""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Blood in the urine""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Blood in the semen""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Bone pain""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Losing weight without trying""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Erectile dysfunction""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I have to go to the bathroom much more often at night""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""It’s hard for me to start urinating""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""The flow of my urine is very weak and slow""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I noticed some blood when I went to the bathroom""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dull ache in my lower back and hips""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having trouble with getting or keeping an erection""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Painful urination or a burning sensation""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling like my bladder isn't completely empty""",Prostate Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Abdominal bloating or swelling""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Quickly feeling full when eating""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Weight loss""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Discomfort in the pelvic area""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Back pain""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Changes in bowel habits or constipation""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""A frequent need to urinate""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""My jeans feel tight around the waist all of a sudden""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel bloated and gassy almost every day""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I have to run to the bathroom to pee very frequently""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel full after just a few bites of food""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a constant dull ache in my lower stomach""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""My back has been hurting lately for no reason""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm feeling more tired than usual lately""",Ovarian Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Upper abdominal pain that radiates to the back""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Unexplained weight loss""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Jaundice""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and vomiting""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dull ache in my upper belly that spreads to my back""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""My skin and the whites of my eyes look yellow""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""My bowel movements are very greasy and smell unusually bad""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I've lost a lot of weight without even trying to diet""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""My urine has become very dark, almost like tea or cola""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I've recently been diagnosed with diabetes for the first time""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel extremely tired and have no appetite at all""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent itching all over my body""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Blood clots in my legs causing pain and swelling""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Digestive problems and feeling sick after eating""",Pancreatic Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty swallowing or dysphagia""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Burning sensation or pain when swallowing""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Unintentional weight loss""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent cough or hoarseness""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain or pressure""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like food is getting stuck in my throat or chest""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""It really hurts or burns whenever I try to swallow""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been coughing a lot and my voice sounds raspy""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I have constant indigestion and heartburn""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I keep bringing up food or vomiting after eating""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I have painful hiccups that won't go away""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Dull ache or pressure right in the middle of my chest""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Enlarged lymph nodes and feeling very weak""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Bone pain and extreme fatigue""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Regurgitation of food and frequent choking while eating""",Esophageal Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Headaches or often worse in the morning""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and vomiting""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""Seizures""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""Vision or speech problems""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""Memory loss or confusion""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a terrible headache that's worse when I wake up""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""I've had a sudden seizure out of nowhere""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having a lot of trouble finding the right words to say""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""My vision is blurry and I'm seeing double lately""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very confused and my memory is failing me""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""My personality seems to have changed and I'm acting differently""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a strange weakness or numbness in my arms and legs""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having trouble with my balance and coordination""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""It’s becoming very hard for me to concentrate on simple tasks""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent nausea and feeling pressure inside my head""",Glioma,,,,,,,,,,,,,,,,,,,,,,,,
"""Hearing loss or ringing in ears""",Meningioma,,,,,,,,,,,,,,,,,,,,,,,,
"""Hearing loss or ringing in ears""",Meningioma,,,,,,,,,,,,,,,,,,,,,,,,
"""Vision changes like double or blurred vision""",Meningioma,,,,,,,,,,,,,,,,,,,,,,,,
"""Seizures""",Meningioma,,,,,,,,,,,,,,,,,,,,,,,,
"""Weakness in arms or legs""",Meningioma,,,,,,,,,,,,,,,,,,,,,,,,
"""Confusion or memory problems""",Meningioma,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been hearing a constant ringing or buzzing in my ears""",Meningioma,,,,,,,,,,,,,,,,,,,,,,,,
